code,name,area,density,age_med,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10001,Kent,586.060601,305.6407472,38.1,0,0,0,0,0,0,0,0,151332,156918,159936,162785,165030,167477,169509,171474,173145,174822,176699,179124
10003,New Castle,426.3363735,1309.5434373,38.7,0,0,0,0,0,0,0,0,527774,533514,536478,539665,542784,545846,549643,551997,555036,555133,556165,558306
10005,Sussex,936.1555523,245.9516471,50.3,0,0,0,0,0,0,0,0,184726,190846,194442,197681,200632,203737,207302,211224,215551,219540,224384,230249
24001,Allegany,422.1984965,168.1720816,41.4,0,0,0,0,0,0,0,0,72598,74638,74788,74645,74394,73976,73549,73060,72591,71977,71445,71002
24003,Anne Arundel,414.8100529,1387.1915493,38.5,0,0,0,0,0,0,0,0,513711,527020,532369,538473,544426,550269,555280,559737,564600,567696,571275,575421
24005,Baltimore,598.3577744,1384.110035,39.5,0,0,0,0,0,0,0,0,786697,799195,802487,807318,812261,817720,822959,825666,828637,827625,828018,828193
24009,Calvert,213.1894494,431.9819779,40.5,0,0,0,0,0,0,0,0,88055,87891,88329,88774,89332,89793,90114,90527,90824,91082,91511,92094
24011,Caroline,319.4414859,104.1192252,39.3,0,0,0,0,0,0,0,0,32727,32805,32955,32947,32871,32759,32661,32653,32785,32875,33049,33260
24013,Carroll,447.6294731,375.8309274,42.2,0,0,0,0,0,0,0,0,168964,167208,167277,167249,167261,167399,167444,167535,167319,167522,167699,168233
24015,Cecil,346.2996124,297.1097753,40.7,0,0,0,0,0,0,0,0,99069,100139,100716,101109,101435,101803,101960,102175,102416,102517,102552,102889
24017,Charles,457.8233287,352.6425804,38.5,0,0,0,0,0,0,0,0,140181,143912,145508,147107,148957,150960,152754,154357,156021,157671,159428,161448
24019,Dorchester,540.764152,59.1644248,44.8,0,0,0,0,0,0,0,0,31646,32287,32480,32570,32617,32614,32534,32451,32386,32261,32138,31994
24021,Frederick,660.5902818,387.4640712,39,0,0,0,0,0,0,0,0,224185,229205,231725,234268,236668,239253,241373,243465,246105,248472,251422,255955
24023,Garrett,649.0768061,44.9176426,46.8,0,0,0,0,0,0,0,0,29631,30145,30128,30079,30014,29945,29813,29677,29516,29376,29235,29155
24025,Harford,437.1260291,580.4641754,40.8,0,0,0,0,0,0,0,0,240297,242888,243955,245396,246664,248029,248966,249776,250132,251025,252222,253736
24027,Howard,250.9493948,1284.7490638,38.7,0,0,0,0,0,0,0,0,274328,279366,283655,288676,293821,299269,304115,308447,312495,315327,318855,322407
24029,Kent,277.0269835,70.2314257,48,0,0,0,0,0,0,0,0,19998,20018,20098,20184,20130,20016,19923,19819,19666,19593,19536,19456
24031,Montgomery,493.1267453,2124.5268281,39.4,0,0,0,0,0,0,0,0,946172,947230,959738,974824,989474,1005087,1017859,1026371,1039198,1040133,1043530,1047661
24033,Prince George's,482.6494361,1886.5680386,37.5,0,0,0,0,0,0,0,0,834986,854722,858539,865443,873481,884764,892816,897693,905161,906202,908670,910551
24035,Queen Anne's,371.6899347,134.9592639,44.7,0,0,0,0,0,0,0,0,46653,46945,47468,47894,48166,48439,48600,48712,49071,49355,49632,50163
24037,St. Mary's,358.6152611,315.6084313,36.5,0,0,0,0,0,0,0,0,100140,102086,103805,105528,107079,108472,109614,110675,110979,111531,112290,113182
24039,Somerset,319.748455,80.3725541,36.9,0,0,0,0,0,0,0,0,25943,26411,26453,26402,26347,26197,25980,25899,25801,25737,25729,25699
24041,Talbot,268.5576535,138.0969766,51,0,0,0,0,0,0,0,0,36034,37361,37575,37746,37859,37894,37799,37668,37461,37211,37167,37087
24043,Washington,457.7837165,328.9217038,40.7,0,0,0,0,0,0,0,0,144158,146329,147118,147882,148435,148913,149270,149571,149546,149811,150109,150575
24045,Wicomico,374.4289391,275.6784779,36,0,0,0,0,0,0,0,0,92827,96951,97862,98940,99683,100376,101182,101527,102014,102172,102539,103222
24047,Worcester,468.4019761,110.9453048,50.5,0,0,0,0,0,0,0,0,49081,51133,51307,51398,51479,51558,51519,51441,51559,51564,51765,51967
24510,Baltimore,80.9459986,7440.4419016,35.5,0,0,0,0,0,0,0,0,639337,620538,620210,620644,621445,622271,622454,621000,619796,614700,609032,602274
42001,Adams,518.6895544,197.8582355,44,0,0,0,0,0,0,0,0,101011,100839,101137,101352,101496,101566,101767,101759,101589,102023,102470,102627
42003,Allegheny,729.9533319,1669.1204037,40.8,0,0,0,0,0,0,0,0,1222473,1223066,1223525,1224772,1226933,1229172,1231145,1230360,1229605,1225561,1221744,1218380
42005,Armstrong,653.3205329,100.0366538,47,0,0,0,0,0,0,0,0,68806,69489,69208,68942,68614,68343,67979,67512,66737,66331,65867,65356
42007,Beaver,434.6946587,379.0729808,45.1,0,0,0,0,0,0,0,0,173277,171569,171027,170614,170382,170124,169785,169205,168161,166896,165833,164781
42009,Bedford,1012.2406287,47.5716926,47,0,0,0,0,0,0,0,0,49648,49882,49864,49680,49490,49332,49086,48852,48891,48611,48337,48154
42011,Berks,856.401883,489.3286765,40.2,0,0,0,0,0,0,0,0,401488,407310,409624,411094,412078,413016,413965,414097,415500,416642,418025,419062
42013,Blair,525.2754111,233.2014738,43.6,0,0,0,0,0,0,0,0,125984,127071,127090,127133,126940,126708,126448,125917,124736,123842,123157,122495
42015,Bradford,1147.3746439,52.9216855,44.5,0,0,0,0,0,0,0,0,61375,62415,62522,62628,62624,62510,62228,61808,61546,61304,60963,60721
